Uniform Crime Reporting Statistics - UCR Data Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ucrdatatool.gov/ Violent crime total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agency,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,
         Tucson Police Dept Arizona 2008 - The FBI determined that the agency did not follow national Uniform Crime Reporting (UCR) Program guidelines for reporting the 2008 larceny-theft offense.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Tucson Police Dept Arizona 2009 - The FBI determined that the agency did not follow national Uniform Crime Reporting (UCR) Program guidelines for reporting the offense of larceny-theft.  Consequently, this figure is not included in this Tool.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Tucson Police Dept Arizona 2010 - The FBI determined that the agency did not follow national Uniform Crime Reporting (UCR) Program guidelines for reporting the 2010 larceny-theft offense.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Tucson Police Dept Arizona 2011 - The FBI determined that the agency did not follow national Uniform Crime Reporting (UCR) Program guidelines for reporting the 2011 larceny-theft offense.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Tucson Police Dept Arizona 2012 - The FBI determined that the agency did not follow national Uniform Crime Reporting (UCR) Program guidelines for reporting an offense.  Consequently, this figure is not included in this table.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Fresno Police Dept California 2005 - Because of changes in the agency's reporting practices, 2005 figures are not comparable to previous years' data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         San Jose Police Dept California 1997 - Due to reporting changes or annexations, 1997 figures are not comparable to previous years' data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Denver Police Dept Colorado 2005 - Because of changes in the agency's reporting practices, 2005 figures are not comparable to previous years' data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Indianapolis Police Dept Indiana 1994 - Indianapolis/Marion County, Indiana, is a unified city-county government with a total population in 1994 of 771,796",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Indianapolis Police Dept Indiana 1996 - Indianapolis/Marion County, Indiana, is a unified city-county government with a total population in 1996 of 777,458",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Indianapolis Police Dept Indiana 1997 - Indianapolis/Marion County, Indiana, reported as a unified city-county government in 1997; therefore, their Crime Index figures are combined and are not comparable to previous years' data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Indianapolis Police Dept Indiana 1998 - Indianapolis/Marion County, Indiana, is a unified city-county government with a total population in 1998 of 759,689; therefore, Crime Index figures are combined and are not comparable to previous years' data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Indianapolis Police Dept Indiana 2002 - Due to changes in reporting practices, annexations, and/or incomplete data, 2002 figures are not comparable to previous years' data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Louisville Metro Kentucky 2005 - Because of changes in the agency's reporting practices, 2005 figures are not comparable to previous years' data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Baltimore City Police Dept Maryland 2000 - Due to changes in reporting practices, annexations, and/or incomplete data, 2000 figures are not comparable to previous years' data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Detroit Police Dept Michigan 2003 - Due to changes in reporting practices, annexations, and/or incomplete data, 2003 figures are not comparable to previous years' data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Detroit Police Dept Michigan 2004 - Because of changes in reporting practices, annexations, and/or incomplete data, 2004 figures are not comparable to previous years' data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Detroit Police Dept Michigan 2005 - Because of changes in the agency's reporting practices, 2005 figures are not comparable to previous years' data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Albuquerque Police Dept New Mexico 1995 - Due to reporting changes, 1995 aggravated assault figure is not comparable to previous years' data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Albuquerque Police Dept New Mexico 1996 - Due to reporting changes or annexations, 1996 figures are not comparable to previous years' data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Charlotte-Mecklenburg Police Department North Carolina 1994 - The Charlotte, NC, Police Department and Mecklenburg County, NC., Police Department merged into one department in 1994.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Columbus Police Dept Ohio 2004 - Because of changes in reporting practices, annexations, and/or incomplete data, 2004 figures are not comparable to previous years' data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Oklahoma City Police Dept Oklahoma 1985 - Due to reporting changes, 1985 figures are not comparable to previous years' data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Oklahoma City Police Dept Oklahoma 1995 - The increase in murders from 1994 to 1995 was the result of the bombing of the Alfred P. Murrah Federal Building in Oklahoma City.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Memphis Police Dept Tennessee 2001 - Due to changes in reporting practices, annexations, and/or incomplete data, 2001 figures are not comparable to previous years' data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Austin Police Dept Texas 1995 - Due to changes in reporting practices, annexations, and/or incomplete data, figures are not comparable to previous years' data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Austin Police Dept Texas 1997 - Due to reporting changes or annexations, 1997 figures are not comparable to previous years' data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Austin Police Dept Texas 2000 - Due to changes in reporting practices, annexations, and/or incomplete data, 2000 figures are not comparable to previous years' data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         El Paso Police Dept Texas 2005 - Because of changes in the agency's reporting practices, 2005 figures are not comparable to previous years' data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         El Paso Police Dept Texas 2006 - Because of changes in the agency's reporting practices, 2006 figures are not comparable to previous years' data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Milwaukee Police Dept Wisconsin 1986 - 1986 aggravated assault figures are not comparable to prior years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Milwaukee Police Dept Wisconsin 2005 - Because of changes in the agency's reporting practices, 2005 figures are not comparable to previous years' data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sources: FBI, Uniform Crime Reports, prepared by the National Archive of Criminal Justice Data ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of download: Nov 17 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
